YEAR,STATEFIP,COUNTYFIP,county_id,adult_pop,uninsured_rate,restricted_exposure_rate,share_18_25,share_26_55,share_56_plus,pct_lt_hs,pct_hs,pct_college,pct_black,pct_white,pct_medicaid,pct_public_cov,pct_private_cov,pct_poverty,pct_in_healthcare_industry
2008,1,3,01003,134138,0.16591122575258316,0.0016773770296262059,0.10453413648630515,0.5341737613502512,0.3612921021634436,0.026010526472737033,0.43618512278399857,0.5378043507432644,0.0835035560393028,0.8719974951169691,0.07071076056002028,0.30385871266904235,0.7285556665523565,0.004033159880123455,0.05949842699309666
2008,1,15,01015,87656,0.18056949895044264,0.004084147120562198,0.1482385689513553,0.5298097106872319,0.3219517203614128,0.0569384868120836,0.542849320069362,0.4002121931185543,0.18994706580268322,0.784658209363877,0.10362097289404033,0.29519941589851234,0.6826457972072648,0.00487131514100575,0.057143834991329745
2008,1,55,01055,78949,0.1722251073477815,0.0024952817641768735,0.13812714537232898,0.5148260269287768,0.3470468276988942,0.061976719147804275,0.4886445680122611,0.44937871283993464,0.13933045383728737,0.8421639286121421,0.09735398801758097,0.3278445578791372,0.6975262511241435,0.015921670952133656,0.0793170274480994
2008,1,73,01073,499627,0.13965017903355903,0.0037047637537603053,0.14064892409737664,0.541824200853837,0.3175268750487864,0.03535237287016114,0.44562443582912853,0.5190231913007103,0.3932333520806522,0.5778010395755233,0.1075322190354004,0.29673736607509205,0.7132300696319455,0.008050005303956751,0.10067510362730597
2008,1,81,01081,106030,0.10607375271149674,0.0015467320569650098,0.28389135150429123,0.4974629821748562,0.21864566632085258,0.03266056776384042,0.40507403565028766,0.5622653965858719,0.2059134207299821,0.7653022729416203,0.06988588135433368,0.20172592662454022,0.8123266999905687,0.011515608789965104,0.07299820805432425
2008,1,97,01097,299521,0.16511029276745204,0.009001038324524825,0.15188250573415554,0.540359440573449,0.3077580536923955,0.04133933847710177,0.552445404495845,0.4062152570270532,0.3268919374601447,0.6366498509286495,0.09642729558194583,0.27713582687023613,0.6909098193448874,0.014726847199361648,0.07034899055491936
2008,1,117,01117,135672,0.08423993159974055,0.0015109971106786956,0.14606551093814493,0.5971681702930597,0.25676631876879535,0.022348015802818564,0.3419128486349431,0.6357391355622384,0.09215608231617431,0.8761350905124123,0.040258859602570904,0.16545049826051064,0.8630004717259272,0.002034318061206439,0.07672917035202548
2008,1,125,01125,137644,0.15020632937142192,0.007817267734154776,0.23172096132050798,0.5167751591060998,0.2515038795733922,0.041425706896050685,0.4914852808694894,0.4670890122344599,0.3001656447066345,0.6755325332015926,0.10233646217779198,0.25607363924326526,0.7355206184069047,0.025725785359332773,0.08517625177995408
2008,2,20,02020,208113,0.16646245068784746,0.0017778802861906752,0.1757987247312758,0.599251368247058,0.22494990702166612,0.01542431275316775,0.4087587032045091,0.5758169840423232,0.05509026346263809,0.7425773498051539,0.08083589203942089,0.19156419829611798,0.754114351337975,0.0023592951905935717,0.08253689101593846
2008,4,5,04005,95253,0.24627045867321765,0.005007716292400239,0.20733205253377845,0.5523290605020315,0.2403388869641901,0.041930437886470766,0.35665018424616546,0.6014193778673638,0.010582343863185411,0.6765666173243887,0.12037416144373406,0.24083230974352512,0.5999811029573872,0.009123072239194566,0.0707169328000168
